RECORDING_SESSION_LABEL,CURRENT_SAC_AMPLITUDE,CURRENT_SAC_AVG_VELOCITY,CURRENT_SAC_CONTAINS_BLINK,CURRENT_SAC_DURATION,CURRENT_SAC_END_TIME,CURRENT_SAC_INDEX,CURRENT_SAC_PEAK_VELOCITY,CURRENT_SAC_PEAK_VELOCITY_TIME,CURRENT_SAC_START_TIME,TRIAL_INDEX,TRIAL_SACCADE_TOTAL,TRIAL_START_TIME,TRIAL_LABEL
alcohol_01,1.43,59.76,FALSE,24,391,1,116.32,228034,368,25,10,227655,Trial: 25
alcohol_01,8.42,179.09,FALSE,47,787,2,335.62,228412,741,25,10,227655,Trial: 25
alcohol_01,2.81,103.96,FALSE,27,895,3,204.57,228537,869,25,10,227655,Trial: 25
alcohol_01,21.64,296.49,FALSE,73,1142,4,443.07,228756,1070,25,10,227655,Trial: 25
alcohol_01,1.35,71.19,FALSE,19,1442,5,94.07,229088,1424,25,10,227655,Trial: 25
alcohol_01,11.94,195.76,FALSE,61,1681,6,443.87,229293,1621,25,10,227655,Trial: 25
alcohol_01,4.91,23.04,TRUE,213,2008,7,1255.46,229483,1796,25,10,227655,Trial: 25
alcohol_01,3.47,115.81,FALSE,30,2576,8,197.25,230215,2547,25,10,227655,Trial: 25
alcohol_01,1,58.53,FALSE,17,3954,9,75.57,231600,3938,25,10,227655,Trial: 25
alcohol_01,0.71,33.93,FALSE,21,4162,10,71.34,231803,4142,25,10,227655,Trial: 25
alcohol_01,10.16,203.25,FALSE,50,783,1,369.01,232774,734,26,9,232023,Trial: 26
alcohol_01,2.04,84.81,FALSE,24,911,2,149.34,232922,888,26,9,232023,Trial: 26
alcohol_01,0.56,46.48,FALSE,12,1296,3,46.99,233312,1285,26,9,232023,Trial: 26
alcohol_01,21.07,266.76,FALSE,79,1547,4,394.69,233527,1469,26,9,232023,Trial: 26
alcohol_01,13.69,52.07,TRUE,263,2052,5,932.2,233842,1790,26,9,232023,Trial: 26
alcohol_01,3.88,117.6,FALSE,33,2346,6,208.3,234351,2314,26,9,232023,Trial: 26
alcohol_01,1.52,68.94,FALSE,22,3610,7,109.04,235622,3589,26,9,232023,Trial: 26
alcohol_01,0.72,34.34,FALSE,21,3787,8,68.54,235797,3767,26,9,232023,Trial: 26
